אזור בתי הספר
אכסאל
דנאנה
הזיתים
זייתון אלשמאלי
מרכז-מדרום למסגד
מרכז-מצפון למסגד
סעד וסעיד
רח 001
רח 002
רח 005
רח 011
רח 02
רח 021
רח 03
רח 04
רח 05
רח 051
רח 06
רח 061
רח 08
רח 09
רח 1
רח 101
רח 102
רח 11
רח 111
רח 12
רח 121
רח 13
רח 14
רח 15
רח 151
רח 16
רח 161
רח 17
רח 18
רח 19
רח 2
רח 201
רח 202
רח 205
רח 21
רח 211
רח 215
רח 22
רח 221
רח 23
רח 24
רח 25
רח 26
רח 261
רח 28
רח 29
רח 3
רח 302
רח 305
רח 31
רח 311
רח 32
רח 321
רח 33
רח 34
רח 35
רח 351
רח 36
רח 361
רח 37
רח 38
רח 39
רח 4
רח 401
רח 405
רח 41
רח 411
רח 42
רח 421
רח 43
רח 45
רח 451
רח 46
רח 47
רח 48
רח 49
רח 5
רח 501
רח 505
רח 51
רח 511
רח 52
רח 53
רח 54
רח 55
רח 551
רח 56
רח 57
רח 59
רח 591
רח 6
רח 601
רח 61
רח 611
רח 62
רח 63
רח 64
רח 65
רח 651
רח 66
רח 67
רח 68
רח 69
רח 701
רח 705
רח 711
רח 72
רח 74
רח 75
רח 751
רח 76
רח 77
רח 78
רח 79
רח 8
רח 801
רח 81
רח 811
רח 82
רח 83
רח 84
רח 85
רח 851
רח 86
רח 87
רח 88
רח 89
רח 9
רח 901
רח 91
רח 911
רח 92
רח 93
רח 94
רח 95
רח 97
רח 98
רח 99
שכונה חדשה
שכונה מזרחית
שכונה מערבית
שכונה צפונית
