סמל ישוב	שם ישוב	סמל נפה	שם נפה
967	אבו ג'ווייעד )שבט(	62	באר שבע
472	אבו גוש	11	ירושלים
473	אבו סנאן	24	עכו
935	אבו סריחאן )שבט(	62	באר שבע
958	אבו עבדון )שבט(	62	באר שבע
1042	אבו עמאר )שבט(	62	באר שבע
932	אבו עמרה )שבט(	62	באר שבע
968	אבו קורינאת )שבט(	62	באר שבע
1342	אבו קרינאת )יישוב(	62	באר שבע
966	אבו רובייעה )שבט(	62	באר שבע
961	אבו רוקייק )שבט(	62	באר שבע
1375	אבו תלול	62	באר שבע
652	אבטין	31	חיפה
1275	אבטליון	24	עכו
679	אביאל	32	חדרה
1115	אביבים	21	צפת
819	אביגדור	61	אשקלון
175	אביחיל	41	השרון
2052	אביטל	23	עפולה
1070	אביעזר	11	ירושלים
1220	אבירים	24	עכו
182	אבן יהודה	41	השרון
1081	אבן מנחם	24	עכו
783	אבן ספיר	11	ירושלים
400	אבן שמואל	61	אשקלון
4011	אבני איתן	29	גולן
3793	אבני חפץ	73	טול כרם
3786	אבנת	75	ירדן )יריחו(
1311	אבשלום	62	באר שבע
3759	אדורה	77	חברון
113	אדירים	23	עפולה
1068	אדמית	24	עכו
1123	אדרת	11	ירושלים
446	אודים	41	השרון
4010	אודם	29	גולן
1046	אוהד	62	באר שבע
2710	אום אל-פחם	32	חדרה
2024	אום אל-קוטוף	32	חדרה
1358	אום בטין	62	באר שבע
1108	אומן	23	עפולה
680	אומץ	41	השרון
31	אופקים	62	באר שבע
1294	אור הגנוז	21	צפת
67	אור הנר	61	אשקלון
2400	אור יהודה	52	רמת גן
1020	אור עקיבא	32	חדרה
780	אורה	11	ירושלים
2012	אורות	61	אשקלון
4013	אורטל	29	גולן
403	אורים	62	באר שבע
882	אורנים	31	חיפה
3760	אורנית	73	טול כרם
278	אושה	31	חיפה
565	אזור	53	חולון
1157	אחווה	61	אשקלון
821	אחוזם	61	אשקלון
1330	אחוזת ברק	23	עפולה
785	אחיהוד	24	עכו
850	אחיטוב	41	השרון
804	אחיסמך	43	רמלה
797	אחיעזר	43	רמלה
965	אטרש )שבט(	62	באר שבע
338	איבים	61	אשקלון
716	אייל	42	פתח תקווה
77	איילת השחר	21	צפת
294	אילון	24	עכו
1126	אילות	62	באר שבע
49	אילניה	22	כנרת
2600	אילת	62	באר שבע
3762	איתמר	72	שכם
37	איתן	61	אשקלון
886	איתנים	11	ירושלים
478	אכסאל	23	עפולה
1359	אל סייד	62	באר שבע
1145	אלומה	61	אשקלון
330	אלומות	22	כנרת
1182	אלון הגליל	23	עפולה
3579	אלון מורה	72	שכם
3604	אלון שבות	76	בית לחם
429	אלוני אבא	23	עפולה
4017	אלוני הבשן	29	גולן
868	אלוני יצחק	32	חדרה
285	אלונים	23	עפולה
5428	אלי סיני	81	עזה
41	אליכין	41	השרון
4002	אלי-עד	29	גולן
1248	אליפז	62	באר שבע
730	אליפלט	21	צפת
682	אליקים	23	עפולה
204	אלישיב	41	השרון
841	אלישמע	42	פתח תקווה
1125	אלמגור	22	כנרת
3556	אלמוג	75	ירדן )יריחו(
1309	אלעד	42	פתח תקווה
1339	אל-עזי	61	אשקלון
3618	אלעזר	76	בית לחם
1316	אל-עריאן	32	חדרה
3750	אלפי מנשה	73	טול כרם
603	אלקוש	24	עכו
3560	אלקנה	73	טול כרם
4003	אל-רום	29	גולן
772	אמונים	61	אשקלון
1064	אמירים	21	צפת
1253	אמנון	22	כנרת
23	אמציה	61	אשקלון
4012	אניעם	29	גולן
960	אסד )שבט(	62	באר שבע
3754	אספר	77	חברון
529	אעבלין	24	עכו
963	אעצם )שבט(	62	באר שבע
959	אפיניש )שבט(	62	באר שבע
4301	אפיק	29	גולן
176	אפיקים	22	כנרת
313	אפק	24	עכו
3650	אפרתה	76	בית לחם
701	ארבל	22	כנרת
3598	ארגמן	75	ירדן )יריחו(
714	ארז	61	אשקלון
3570	אריאל	73	טול כרם
